# Poblaciones referidas al 1 de Enero por comunidades autónomas
# vía http://www.ine.es/jaxi/menu.do?type=pcaxis&path=%2Ft20%2Fe260&file=inebase&N=&L=0
# Comunidad Autónoma,2006,2007,2008,2009,2010
#
# NOTA: Total comunidades calculado manualmente
00,Total Comunidades,44708964,45200737,46157822,46745807,47021031
01,Comunidad Autónoma de Andalucía,7975672,8059461,8202220,8302923,8370975
02,Comunidad Autónoma de Aragón,1277471,1296655,1326918,1345473,1347095
03,Comunidad Autónoma del Principado de Asturias,1076896,1074862,1080138,1085289,1084341
04,Comunidad Autónoma de Las Illes Balears,1001062,1030650,1072844,1095426,1106049
05,Comunidad Autónoma de Canarias,1995833,2025951,2075968,2103992,2118519
06,Comunidad Autónoma de Cantabria,568091,572824,582138,589235,592250
07,Comunidad de Castilla y León,2523020,2528417,2557330,2563521,2559515
08,Comunidad Autónoma de Castilla-La Mancha,1932261,1977304,2043100,2081313,2098373
09,Comunidad Autónoma de Cataluña,7134697,7210508,7364078,7475420,7512381
10,Comunidad Autónoma de Extremadura,1086373,1089990,1097744,1102410,1107220
11,Comunidad Autónoma de Galicia,2767524,2772533,2784169,2796089,2797653
12,Comunidad de Madrid,6008183,6081689,6271638,6386932,6458684
13,Comunidad Autónoma de la Región de Murcia,1370306,1392117,1426109,1446520,1461979
14,Comunidad Foral de Navarra,601874,605876,620377,630578,636924
15,Comunidad Autónoma del País Vasco,2133684,2141860,2157112,2172175,2178339
16,Comunidad Autónoma de La Rioja,306377,308968,317501,321702,322415
17,Comunitat Valenciana,4806908,4885029,5029601,5094675,5111706
18,Ciudad Autónoma de Ceuta,75861,76603,77389,78674,80579
19,Ciudad Autónoma de Melilla,66871,69440,71448,73460,76034

